month,new_customers,churned_customers,total_customers,starter_customers,pro_customers,enterprise_customers,subscription_mrr,expansion_revenue,services_revenue,total_revenue,salaries,cloud_infra,marketing,legal_patent,misc,total_costs,net_burn,cash_balance,cumulative_revenue
1,3,0,3,1,1,1,897,0.0,3333.33,4230.33,8000,2150,1500,1500,1000,14150,-9919.67,740080.33,4230.33
2,3,0,6,2,2,2,1794,17.94,3333.33,5145.27,8000,2300,1500,1500,1000,14300,-9154.73,730925.61,9375.61
3,3,0,9,3,3,3,2691,35.88,3333.33,6060.21,20000,2450,1500,1500,1000,26450,-20389.79,710535.82,15435.82
4,8,0,17,6,6,5,4883,53.82,3333.33,8270.15,30000,2850,1500,1500,1000,36850,-28579.85,681955.97,23705.97
5,8,1,24,9,9,6,6576,97.66,3333.33,10006.99,30000,3200,1500,1500,1000,37200,-27193.01,654762.97,33712.97
6,8,1,31,12,12,7,8269,131.52,3333.33,11733.85,42000,3550,1500,1500,1000,49550,-37816.15,616946.82,45446.82
7,8,2,37,14,14,9,10063,165.38,3333.33,13561.71,42000,3850,3000,1500,1000,51350,-37788.29,579158.53,59008.53
8,8,2,43,16,16,11,11857,201.26,3333.33,15391.59,42000,4150,3000,1500,1000,51650,-36258.41,542900.13,74400.13
9,8,2,49,18,18,13,13651,237.14,3333.33,17221.47,42000,4450,3000,1500,1000,51950,-34728.53,508171.6,91621.6
10,15,2,62,23,23,16,17138,273.02,3333.33,20744.35,42000,5100,3000,1500,1000,52600,-31855.65,476315.95,112365.95
11,15,3,74,28,28,18,20126,342.76,3333.33,23802.09,42000,5700,3000,1500,1000,53200,-29397.91,446918.05,136168.05
12,15,4,85,33,33,19,22615,402.52,3333.33,26350.85,42000,6250,3000,1500,1000,53750,-27399.15,419518.9,162518.9
13,15,4,96,37,37,22,25704,452.3,3333.33,29489.63,42000,6800,3000,1500,1000,54300,-24810.37,394708.53,192008.53
14,15,5,106,41,41,24,28294,514.08,3333.33,32141.41,42000,7300,3000,1500,1000,54800,-22658.59,372049.95,224149.95
15,15,5,116,45,45,26,30884,565.88,3333.33,34783.21,42000,7800,3000,1500,1000,55300,-20516.79,351533.16,258933.16
16,15,6,125,49,49,27,32975,617.68,3333.33,36926.01,42000,8250,3000,1500,1000,55750,-18823.99,332709.17,295859.17
17,15,6,134,53,53,28,35066,659.5,3333.33,39058.83,42000,8700,3000,1500,1000,56200,-17141.17,315568.01,334918.01
18,15,7,142,56,56,30,37258,701.32,3333.33,41292.65,42000,9100,3000,1500,1000,56600,-15307.35,300260.66,376210.66
