Volume (mL)	Mass (g)
0.005	-0.00030000000000995897
0.005	0.00030000000000995897
0.005	-0.00010000000000331966
0.005	0.00010000000000331966
0.005	0.0004999999999881766
0.01	0.005400000000008731
0.01	0.004899999999992133
0.01	0.005000000000009663
0.01	0.00019999999999242846
0.01	0.0002000000000066393
0.02	0.011899999999997135
0.02	0.007499999999993179
0.02	0.0034000000000133923
0.02	0.00919999999999277
0.02	0.011099999999999
0.05	0.04279999999999973
0.05	0.04220000000000823
0.05	0.0408999999999935
0.05	0.04000000000000625
0.05	0.03889999999999816
0.1	0.08780000000000143
0.1	0.08639999999999759
0.1	0.09080000000000155
0.1	0.09019999999999584
0.1	0.08809999999999718
0.2	0.18530000000001223
0.2	0.18539999999998713
0.2	0.18780000000000996
0.2	0.18739999999999668
0.2	0.18540000000000134
0.5	0.4817999999999927
0.5	0.48150000000001114
0.5	0.4788999999999959
0.5	0.47870000000000346
0.5	0.477800000000002
